,dailyconfirmed,dailydeceased,dailyrecovered,date,dateymd,totalconfirmed,totaldeceased,totalrecovered
317,30354,391,33087,12 December 2020,2020-12-12,9857304,142464,9356712
318,27336,338,30640,13 December 2020,2020-12-13,9884640,142802,9387352
319,21941,354,34421,14 December 2020,2020-12-14,9906581,143156,9421773
320,26251,384,33853,15 December 2020,2020-12-15,9932832,143540,9455626
321,18172,356,33360,16 December 2020,2020-12-16,9951004,143896,9488986
322,26754,342,30891,17 December 2020,2020-12-17,9977758,144238,9519877
323,26991,342,29879,18 December 2020,2020-12-18,10004749,144580,9549756
324,26834,342,29758,19 December 2020,2020-12-19,10031583,144922,9579514
325,24622,332,25734,20 December 2020,2020-12-20,10056205,145254,9605248
326,19147,302,30250,21 December 2020,2020-12-21,10075352,145556,9635498
327,23880,329,27032,22 December 2020,2020-12-22,10099232,145885,9662530
328,24716,315,29946,23 December 2020,2020-12-23,10123948,146200,9692476
329,23444,337,24555,24 December 2020,2020-12-24,10147392,146537,9717031
330,22349,251,22184,25 December 2020,2020-12-25,10169741,146788,9739215
331,18575,280,21466,26 December 2020,2020-12-26,10188316,147068,9760681
332,20333,281,21097,27 December 2020,2020-12-27,10208649,147349,9781778
333,16072,250,24822,28 December 2020,2020-12-28,10224721,147599,9806600
334,20542,285,26589,29 December 2020,2020-12-29,10245263,147884,9833189
335,21945,299,26407,30 December 2020,2020-12-30,10267208,148183,9859596
336,19026,244,21969,31 December 2020,2020-12-31,10286234,148427,9881565
337,20159,237,23838,1 January 2021,2021-01-01,10306393,148664,9905403
338,18144,216,20903,2 January 2021,2021-01-02,10324537,148880,9926306
339,16678,215,19658,3 January 2021,2021-01-03,10341215,149095,9945964
340,16278,200,29209,4 January 2021,2021-01-04,10357493,149295,9975173
341,17909,265,21161,5 January 2021,2021-01-05,10375402,149560,9996334
342,20472,222,19689,6 January 2021,2021-01-06,10395874,149782,10016023
343,18123,233,20503,7 January 2021,2021-01-07,10413997,150015,10036526
344,18453,229,19242,8 January 2021,2021-01-08,10432450,150244,10055768
345,18820,213,19460,9 January 2021,2021-01-09,10451270,150457,10075228
346,16086,150,16737,10 January 2021,2021-01-10,10467356,150607,10091965
347,12481,166,18578,11 January 2021,2021-01-11,10479837,150773,10110543
348,15903,200,17762,12 January 2021,2021-01-12,10495740,150973,10128305
349,17015,201,17797,13 January 2021,2021-01-13,10512755,151174,10146102
350,15677,189,15943,14 January 2021,2021-01-14,10528432,151363,10162045
351,15155,176,16809,15 January 2021,2021-01-15,10543587,151539,10178854
352,15050,181,17202,16 January 2021,2021-01-16,10558637,151720,10196056
353,13962,145,14513,17 January 2021,2021-01-17,10572599,151865,10210569
354,9987,137,17127,18 January 2021,2021-01-18,10582586,152002,10227696
355,13787,162,17229,19 January 2021,2021-01-19,10596373,152164,10244925
356,15279,152,20071,20 January 2021,2021-01-20,10611652,152316,10264996
357,14495,161,17734,21 January 2021,2021-01-21,10626147,152477,10282730
358,14323,153,17166,22 January 2021,2021-01-22,10640470,152630,10299896
359,14896,156,16033,23 January 2021,2021-01-23,10655366,152786,10315929
360,13232,131,13148,24 January 2021,2021-01-24,10668598,152917,10329077
361,9098,116,16092,25 January 2021,2021-01-25,10677696,153033,10345169
362,12733,138,13250,26 January 2021,2021-01-26,10690429,153171,10358419
363,11556,123,14261,27 January 2021,2021-01-27,10701985,153294,10372680
364,18912,162,20315,28 January 2021,2021-01-28,10720897,153456,10392995
365,13054,137,14886,29 January 2021,2021-01-29,10733951,153593,10407881
366,13073,128,14077,30 January 2021,2021-01-30,10747024,153721,10421958
367,11527,116,11882,31 January 2021,2021-01-31,10758551,153837,10433840
368,8579,94,13443,1 February 2021,2021-02-01,10767130,153931,10447283
369,11001,113,14250,2 February 2021,2021-02-02,10778131,154044,10461533
370,12925,107,17813,3 February 2021,2021-02-03,10791056,154151,10479346
